Description,Code,(thousand),Median,change,Mean,change,Code,CodePref
ALL EMPLOYEES,,13257,499.4,2.2,612,2.5,0000,00000
All Industries and Services,,13252,499.5,2.2,612,2.5,0000,00000
All Index of Production Industries,,2176,525,1.5,617.2,0.9,0000,00000
All Manufacturing,,1891,513.1,2,605.3,1.1,0000,00000
All Service Industries,,10237,489.1,2.1,611,2.8,0000,00000
"AGRICULTURE, FORESTRY AND FISHING ",A,93,378.4,1.8,439,4.5,A000,0A000
"Crop and animal production, hunting and related service activities ",1,82,369.3,1.4,408.6,3.2,1000,01000
Growing of non-perennial crops ,11,35,361.3,3.3,410.5,2.7,1100,01100
"Growing of cereals (except rice), leguminous crops and oil seeds ",111,17,380.6,3.6,414.3,0,1110,01110
Growing of rice ,112,:,,,,,1120,01120
"Growing of vegetables and melons, roots and tubers ",113,14,354.3,5.9,426.9,7.5,1130,01130
Growing of sugar cane ,114,:,,,,,1140,01140
Growing of tobacco ,115,:,,,,,1150,01150
Growing of fibre crops ,116,x,x,,430,,1160,01160
Growing of other non-perennial crops ,119,x,323.2,1.4,342.4,-1,1190,01190
Growing of perennial crops ,12,x,347.9,-11.8,432.8,-7.3,1200,01200
Growing of grapes  ,121,:,,,,,1210,01210
Growing of tropical and subtropical fruits ,122,:,,,,,1220,01220
Growing of citrus fruits ,123,:,,,,,1230,01230
Growing of pome fruits and stone fruits ,124,x,345.6,-11.6,431.3,-9.5,1240,01240
Growing of other tree and bush fruits and nuts ,125,..,,,,,1250,01250
Growing of oleaginous fruits ,126,:,,,,,1260,01260
Growing of beverage crops  ,127,:,,,,,1270,01270
"Growing of spices, aromatic, drug and pharmaceutical crops ",128,:,,,,,1280,01280
Growing of other perennial crops ,129,:,,,,,1290,01290
Plant propagation ,13,x,x,,398.2,-2.7,1300,01300
Plant propagation ,130,x,x,,398.2,-2.7,1300,01300
Animal production ,14,28,382.9,2.4,407,3.5,1400,01400
Raising of dairy cattle  ,141,5,394.6,4.4,392.2,4.8,1410,01410
Raising of other cattle and buffaloes ,142,x,367.4,,431.6,18.6,1420,01420
Raising of horses and other equines ,143,x,x,,458.7,-0.3,1430,01430
Raising of camels and camelids ,144,:,,,,,1440,01440
Raising of sheep and goats ,145,5,366.9,1.2,393.9,4.5,1450,01450
Raising of swine/pigs,146,x,353.4,0.1,416.6,4.3,1460,01460
Raising of poultry ,147,10,397.7,-1.2,411.3,2.2,1470,01470
Raising of other animals  ,149,x,x,,324.1,-11.4,1490,01490
Mixed farming ,15,10,353.1,-1.5,365.4,2.9,1500,01500
Mixed farming ,150,10,353.1,-1.5,365.4,2.9,1500,01500
Support activities to agriculture and post-harvest crop activities ,16,5,423.9,4.8,474.4,11.3,1600,01600
