EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
3M UNITED KINGDOM PUBLIC LIMITED COMPANY,"3m, Centre, Cain Road,
Bracknell,
Berkshire,
RG12 8HT",01123045,"20301,
23910,
32990",14.00,8.00,49.00,36.00,30.00,24.00,35.00,65.00,63.00,37.00,65.00,35.00,75.00,25.00,https://www.3m.co.uk/3M/en_GB/careers/inclusion/,"Stella Hegarty (Director, Human Resources)"
A Khan Restaurants Ltd.,"2nd Floor Bradburn House,
64-68 Northumberland Street,
Newcastle,
Tyneside,
United Kingdom,
NE1 7DF",08132730,56103,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,Holly Pearson (Office Manager)
A.J.N. STEELSTOCK LTD.,"Icknield Way, Kentford,
Newmarket,
Suffolk,
CB8 7QT",00689647,46720,16.70,-9.50,2.30,-124.00,65.40,55.90,80.00,20.00,98.60,1.40,88.40,11.60,84.30,15.70,https://www.ajnsteelstock.co.uk/wp-content/uploads/2017/12/Gender-Pay-Gap-Report.pdf,Courtney Bell (Finance Director)
A3D2 Ltd.,"NOVUS LEISURE LIMITED,
Third Floor, Clareville House,
26-27 Oxendon Street,
London,
United Kingdom,
SW1Y 4EL",03506401,56301,-5.00,-7.00,-42.00,-110.00,24.00,32.00,60.00,40.00,67.00,33.00,59.00,41.00,47.00,53.00,,Sarah Miller (Operations Director)
Abbotsford Care (Glenrothes) Ltd.,"Unit 4 Midfield Drive,
Dunnikier Business Park,
Kirkcaldy,
Scotland,
KY1 3LW",SC370558,86102,-1.30,0.00,0.00,0.00,0.00,0.00,15.00,85.00,22.50,77.50,20.40,79.60,16.00,84.00,,Kelly McWilliams (Payroll Officer)
Aberlour Child Care Trust,"36 Park Terrace,
Stirling,
Stirlingshire,
United Kingdom,
FK8 2JR",SC312912,96090,7.00,0.00,0.00,0.00,0.00,0.00,15.60,84.40,18.80,81.20,17.00,83.00,20.30,79.70,https://d1ssu070pg2v9i.cloudfront.net/pex/aberlour/2018/01/12131702/Gender-Pay-Gap-Report-2017.pdf,SallyAnn Kelly (CEO)
Accenture (UK) Ltd.,"30 Fenchurch Street,
London,
United Kingdom,
EC3M 3BD",04757301,70229,16.70,10.20,52.00,33.40,61.60,62.50,54.70,45.30,64.00,36.00,67.60,32.40,72.10,27.90,https://www.accenture.com/gb-en/company-news-release-gender-pay-gap-data,Olly Benzecry (Country Managing Director)
Acenta Steel Ltd.,"Planetary Road,
Willenhall,
West Midlands,
United Kingdom,
WV13 3SW",03725308,"24100,
24310",7.20,3.40,0.00,0.00,0.00,0.00,81.00,19.00,89.00,11.00,90.00,10.00,88.00,12.00,http://acentasteel.com/scw-content/uploads/2017/12/Gender-Pay-Gap-Reporting.pdf,Jane Withers (Financial Director)
ACHILLES INFORMATION LIMITED,"7 , Burnbank Business Centre,
Souterhead Road, Altens,
Aberdeen,
AB12 3LF",SC137975,63110,23.00,5.00,43.00,22.00,70.00,75.00,47.00,53.00,62.00,38.00,67.00,33.00,76.00,24.00,,Jay Katzen (CEO)
Aci Worldwide (Emea) Ltd.,"55-57 Clarendon Road,
Watford,
Hertfordshire,
United Kingdom,
WD17 1FQ",02310474,"62020,
70100",11.90,20.30,27.20,37.10,84.70,76.60,61.30,38.70,65.80,34.20,80.30,19.70,71.10,28.90,,David King (VP Services)
