Code,Median,Mean
A,353.4,391.1
1,345.3,366.6
11,345.8,368.3
111,352.4,363.5
112,,
113,352.6,393.8
114,,
115,,
116,,
119,317.2,320.4
12,342.9,409.6
121,,
122,,
123,,
124,341.7,403.4
125,,470
126,,
127,,
128,,
129,,
13,,350.5
130,,350.5
14,346,364.8
141,,340.3
142,,369.4
143,354.2,402.2
144,,
145,305.1,327.8
146,320.6,358.3
147,361.2,396.1
149,,321.3
15,344,334.8
150,344,334.8
16,368.8,395.3
161,382.6,462.8
162,312.9,338.8
163,,
164,,
17,,
170,,
2,467.4,604
21,467.4,641.9
210,467.4,641.9
22,,442.9
220,,442.9
23,,
230,,
24,,
240,,
3,,
31,,312.1
311,,312.1
312,,
32,,
321,,
322,,
B,678.8,802
5,468.6,548.3
51,468.6,548.3
510,468.6,548.3
52,,
520,,
6,1152.4,1370.7
61,1152.4,1370.7
610,1152.4,1370.7
62,,
620,,
7,,
71,,
710,,
72,,
721,,
729,,
8,530.4,612.3
81,529,612.4
811,558.9,646.5
812,468.9,551.9
89,529.6,611.6
891,531.6,617
892,,
893,,
899,464.4,528.7
9,753.8,906.6
91,753.8,906.6
910,753.8,906.6
99,,
990,,
C,486.5,572.8
10,377.1,478.6
101,327.9,411.8
1011,335.7,414.6
1012,324.1,397.4
1013,332.6,423.6
102,324.5,407.6
1020,324.5,407.6
103,429.5,528.9
1031,499,572.5
1032,558.1,545.7
1039,367.1,507.3
104,784.8,714.9
1041,784.8,714.9
1042,,
105,422.8,490.3
1051,429.2,502.5
1052,,415.8
106,569.8,633.4
1061,468.4,599.1
1062,699.5,787.3
107,394.1,466.3
1071,394.6,460.6
1072,392.4,492.1
1073,338.8,365.6
108,397.5,509.6
1081,,929
1082,547.4,649
1083,570.1,553.6
1084,379.8,493.2
1085,361.9,441.8
1086,,
1089,356.3,432.3
109,503.5,552
1091,525.1,550.3
1092,489.9,555.2
11,593.4,683.4
110,593.4,683.4
1101,637.9,778.5
1102,,
1103,,
1104,,
1105,470.3,568.4
1106,,
1107,631.5,700.7
12,,
120,,
1200,,
13,352,431.5
131,326.3,368
1310,326.3,368
132,361.5,416.6
1320,361.5,416.6
133,318.1,402.2
1330,318.1,402.2
139,352.1,443.1
1391,,558.1
1392,315.5,386.5
1393,449.5,
