"AGRICULTURE, FORESTRY AND FISHING ",A,378.4,439
"Crop and animal production, hunting and related service activities ",1,369.3,408.6
Growing of non-perennial crops ,11,361.3,410.5
"Growing of cereals (except rice), leguminous crops and oil seeds ",111,380.6,414.3
Growing of rice ,112,,
"Growing of vegetables and melons, roots and tubers ",113,354.3,426.9
Growing of sugar cane ,114,,
Growing of tobacco ,115,,
Growing of fibre crops ,116,,430
Growing of other non-perennial crops ,119,323.2,342.4
Growing of perennial crops ,12,347.9,432.8
Growing of grapes  ,121,,
Growing of tropical and subtropical fruits ,122,,
Growing of citrus fruits ,123,,
Growing of pome fruits and stone fruits ,124,345.6,431.3
Growing of other tree and bush fruits and nuts ,125,,
Growing of oleaginous fruits ,126,,
Growing of beverage crops  ,127,,
"Growing of spices, aromatic, drug and pharmaceutical crops ",128,,
Growing of other perennial crops ,129,,
Plant propagation ,13,,398.2
Plant propagation ,130,,398.2
Animal production ,14,382.9,407
Raising of dairy cattle  ,141,394.6,392.2
Raising of other cattle and buffaloes ,142,367.4,431.6
Raising of horses and other equines ,143,,458.7
Raising of camels and camelids ,144,,
Raising of sheep and goats ,145,366.9,393.9
Raising of swine/pigs,146,353.4,416.6
Raising of poultry ,147,397.7,411.3
Raising of other animals  ,149,,324.1
Mixed farming ,15,353.1,365.4
Mixed farming ,150,353.1,365.4
Support activities to agriculture and post-harvest crop activities ,16,423.9,474.4
Support activities for crop production ,161,427.6,495.9
Support activities for animal production,162,412.1,421.5
Post-harvest crop activities ,163,,
Seed processing for propagation ,164,,
"Hunting, trapping and related service activities ",17,,
"Hunting, trapping and related service activities ",170,,
Forestry and logging ,2,467.4,653.1
Silviculture and other forestry activities ,21,,699.5
Silviculture and other forestry activities ,210,,699.5
Logging ,22,,442.9
Logging ,220,,442.9
Gathering of wild growing non-wood products ,23,,
Gathering of wild growing non-wood products ,230,,
Support services to forestry,24,,
Support services to forestry ,240,,
Fishing and aquaculture ,3,,
Fishing ,31,,301.9
Marine fishing ,311,,301.9
Freshwater fishing ,312,,
Aquaculture ,32,,
Marine aquaculture ,321,,
Freshwater aquaculture ,322,,641.3
MINING AND QUARRYING ,B,653.3,815.4
Mining of coal and lignite ,5,501.9,566.5
Mining of hard coal ,51,501.9,566.5
Mining of hard coal,510,501.9,566.5
Mining of lignite ,52,,
Mining of lignite ,520,,
Extraction of crude petroleum and natural gas ,6,,1623.7
Extraction of crude petroleum ,61,,1623.7
Extraction of crude petroleum ,610,,1623.7
Extraction of natural gas ,62,,
Extraction of natural gas ,620,,
Mining of metal ores ,7,,
Mining of iron ores ,71,,
Mining of iron ores ,710,,
Mining of non-ferrous metal ores ,72,,
Mining of uranium and thorium ores ,721,,
Mining of other non-ferrous metal ores ,729,,
Other mining and quarrying ,8,538.5,629.3
"Quarrying of stone, sand and clay ",81,542,631.2
"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate ",811,573.6,665.1
Operation of gravel and sand pits; mining of clays and kaolin ,812,477.3,570.4
Mining and quarrying n.e.c. ,89,523,609.2
Mining of chemical and fertiliser minerals,891,526.5,584.8
Extraction of peat ,892,,
Extraction of salt ,893,,
Other mining and quarrying n.e.c. ,899,,
Mining support service activities ,9,833,955.8
Support activities for petroleum and natural gas extraction ,91,833,955.8
Support activities for petroleum and natural gas extraction ,910,833,955.8
Support activities for other mining and quarrying,99,,
Support activities for other mining and quarrying ,990,,
MANUFACTURING ,C,513.1,605.3
Manufacture of food products ,10,412.2,516.8
Processing and preserving of meat and production of meat products ,101,335.2,431.1
Processing and preserving of meat ,1011,344.5,449.5
Processing and preserving of poultry meat ,1012,332.2,419.8
Production of meat and poultry meat products  ,1013,334.8,430.1
"Processing and preserving of fish, crustaceans and molluscs ",102,354.1,454.6
"Processing and preserving of fish, crustaceans and molluscs ",1020,354.1,454.6
Processing and preserving of fruit and vegetables ,103,477.6,582.6
Processing and preserving of potatoes ,1031,523.2,611
