sic_code,sic_section,sic_section_desc,sic_division,sic_division_desc,sic_group,sic_group_desc
01110, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops
01120, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops
01130, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops
01140, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops
01150, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops
01160, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops
01190, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.1,Growing of non-perennial crops
01210, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops
01220, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops
01230, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops
01240, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops
01250, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops
01260, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops
01270, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops
01280, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops
01290, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops
01300, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.3,Plant propagation
01410, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production
01420, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production
01430, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production
01440, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production
01450, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production
01460, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production
01470, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production
01490, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production
01500, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.5,Mixed farming
01610, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities
01620, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities
01621, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities
01629, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities
01630, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities
01640, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities
01700, A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.7,"Hunting, trapping and related service activities"
02100, A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.1,Silviculture and other forestry activities
02200, A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.2,Logging
02300, A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.3,Gathering of wild growing non-wood products
02400, A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.4,Support services to forestry
03110, A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,03.1,Fishing
03120, A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,03.1,Fishing
03210, A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,03.2,Aquaculture
03220, A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,03.2,Aquaculture
05100, B,MINING AND QUARRYING,05,Mining of coal and lignite,05.1,Mining of hard coal
05101, B,MINING AND QUARRYING,05,Mining of coal and lignite,05.1,Mining of hard coal
05102, B,MINING AND QUARRYING,05,Mining of coal and lignite,05.1,Mining of hard coal
05200, B,MINING AND QUARRYING,05,Mining of coal and lignite,05.2,Mining of lignite
06100, B,MINING AND QUARRYING,06,Extraction of crude petroleum and natural gas,06.1,Extraction of crude petroleum
06200, B,MINING AND QUARRYING,06,Extraction of crude petroleum and natural gas,06.2,Extraction of natural gas
07100, B,MINING AND QUARRYING,07,Mining of metal ores,07.1,Mining of iron ores
07210, B,MINING AND QUARRYING,07,Mining of metal ores,07.2,Mining of non-ferrous metal ores
07290, B,MINING AND QUARRYING,07,Mining of metal ores,07.2,Mining of non-ferrous metal ores
08110, B,MINING AND QUARRYING,08,Other mining and quarrying,08.1,"Quarrying of stone, sand and clay"
08120, B,MINING AND QUARRYING,08,Other mining and quarrying,08.1,"Quarrying of stone, sand and clay"
08910, B,MINING AND QUARRYING,08,Other mining and quarrying,08.9,Mining and quarrying n.e.c.
08920, B,MINING AND QUARRYING,08,Other mining and quarrying,08.9,Mining and quarrying n.e.c.
08930, B,MINING AND QUARRYING,08,Other mining and quarrying,08.9,Mining and quarrying n.e.c.
08990, B,MINING AND QUARRYING,08,Other mining and quarrying,08.9,Mining and quarrying n.e.c.
09100, B,MINING AND QUARRYING,09,Mining support service activities,09.1,Support activities for petroleum and natural gas extraction
09900, B,MINING AND QUARRYING,09,Mining support service activities,09.9,Support activities for other mining and quarrying
10110, C,MANUFACTURING,10,Manufacture of food products,10.1,Processing and preserving of meat and production of meat products
10120, C,MANUFACTURING,10,Manufacture of food products,10.1,Processing and preserving of meat and production of meat products
10130, C,MANUFACTURING,10,Manufacture of food products,10.1,Processing and preserving of meat and production of meat products
10200, C,MANUFACTURING,10,Manufacture of food products,10.2,"Processing and preserving of fish, crustaceans and molluscs"
10310, C,MANUFACTURING,10,Manufacture of food products,10.3,Processing and preserving of fruit and vegetables
10320, C,MANUFACTURING,10,Manufacture of food products,10.3,Processing and preserving of fruit and vegetables
10390, C,MANUFACTURING,10,Manufacture of food products,10.3,Processing and preserving of fruit and vegetables
10410, C,MANUFACTURING,10,Manufacture of food products,10.4,Manufacture of vegetable and animal oils and fats
10420, C,MANUFACTURING,10,Manufacture of food products,10.4,Manufacture of vegetable and animal oils and fats
10510, C,MANUFACTURING,10,Manufacture of food products,10.5,Manufacture of dairy products
10511, C,MANUFACTURING,10,Manufacture of food products,10.5,Manufacture of dairy products
10512, C,MANUFACTURING,10,Manufacture of food products,10.5,Manufacture of dairy products
10519, C,MANUFACTURING,10,Manufacture of food products,10.5,Manufacture of dairy products
10520, C,MANUFACTURING,10,Manufacture of food products,10.5,Manufacture of dairy products
10610, C,MANUFACTURING,10,Manufacture of food products,10.6,"Manufacture of grain mill products, starches and starch products"
